aveQtyPerPurchase,medHitTotal,medPageView,medRevenuePerSess,medTimeBtwnSess,minTimeBtwnSess,numOfSess,percentSessWithPurchase
133.0,477.0,-130.0,862.33,990.5,2868.0,-992.5,870.33
156.333333333,375.0,-137.5,1254.89,1153.83333333,2256.0,-1048.75,1262.89
126.0,621.0,-122.5,38.5,941.5,3732.0,-936.25,46.5
126.0,615.0,-100.0,38.5,941.5,3696.0,-767.5,46.5
143.5,333.0,-145.0,67.725,1064.0,2004.0,-1105.0,75.725
175.0,552.0,-107.5,2612.4,1284.5,3318.0,-823.75,2620.4
133.0,585.0,-100.0,766.92,990.5,3516.0,-767.5,774.92
126.0,597.0,-85.0,38.5,941.5,3588.0,-655.0,46.5
194.95,486.0,-115.0,1035.16,1424.15,2922.0,-880.0,1043.16
146.222222222,435.0,-122.5,38.5,1083.05555556,2616.0,-936.25,46.5
126.0,711.0,-85.0,38.5,941.5,4272.0,-655.0,46.5
126.0,519.0,-85.0,38.5,941.5,3120.0,-655.0,46.5
133.0,300.0,-133.75,618.66,990.5,1806.0,-1020.625,626.66
133.0,411.0,-122.5,76.72,990.5,2472.0,-936.25,84.72
126.0,639.0,-100.0,38.5,941.5,3840.0,-767.5,46.5
126.0,939.0,-2.5,38.5,941.5,5640.0,-36.25,46.5
1519.0,600.0,-96.25,7055.335,10692.5,3606.0,-739.375,7063.335
182.0,507.0,-85.0,277.13,1333.5,3048.0,-655.0,285.13
126.0,597.0,-100.0,38.5,941.5,3588.0,-767.5,46.5
126.0,336.0,-130.0,38.5,941.5,2022.0,-992.5,46.5
126.0,405.0,-137.5,38.5,941.5,2436.0,-1048.75,46.5
420.0,477.0,-55.0,5919.06,2999.5,2868.0,-430.0,5927.06
126.0,1077.0,-25.0,38.5,941.5,6468.0,-205.0,46.5
126.0,507.0,-115.0,38.5,941.5,3048.0,-880.0,46.5
126.0,237.0,-152.5,38.5,941.5,1428.0,-1161.25,46.5
126.0,225.0,-107.5,38.5,941.5,1356.0,-823.75,46.5
3626.0,429.0,-130.0,5358.5,25441.5,2580.0,-992.5,5366.5
126.0,441.0,-107.5,38.5,941.5,2652.0,-823.75,46.5
312.666666667,615.0,-85.0,7750.4,2248.16666667,3696.0,-655.0,7758.4
137.666666667,465.0,-130.0,2220.75,1023.16666667,2796.0,-992.5,2228.75
133.0,699.0,-70.0,119.21,990.5,4200.0,-542.5,127.21
595.0,1107.0,20.0,36339.87,4224.5,6648.0,132.5,36347.87
126.0,309.0,-152.5,38.5,941.5,1860.0,-1161.25,46.5
126.0,207.0,-152.5,38.5,941.5,1248.0,-1161.25,46.5
133.0,381.0,-137.5,1489.67,990.5,2292.0,-1048.75,1497.67
163.333333333,435.0,-137.5,15018.08,1202.83333333,2616.0,-1048.75,15026.08
339.5,933.0,-40.0,5059.74,2436.0,5604.0,-317.5,5067.74
126.0,315.0,-152.5,38.5,941.5,1896.0,-1161.25,46.5
126.0,369.0,-130.0,38.5,941.5,2220.0,-992.5,46.5
857.5,522.0,-115.0,18333.455,6062.0,3138.0,-880.0,18341.455
126.0,339.0,-107.5,38.5,941.5,2040.0,-823.75,46.5
315.5,582.0,-103.75,2468.27,2268.0,3498.0,-795.625,2476.27
